Voti Fantacalcio 5 giornata di campionato;;;;;;;;;;;;;;;
Solo su www.fantacalcio.it i voti ufficiali per la tua lega;;;;;;;;;;;;;;;
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET;;;;;;;;;;;;;;;
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT;;;;;;;;;;;;;;;
ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;5.5;0;1;0;0;0;0;0;0;0;0;0;0
13;D;DRAME';5.5;0;0;0;0;0;0;0;0;0;0;0;0
325;D;KONKO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6;0;0;0;0;0;0;1;0;0;0;0;0
695;D;TOLOI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1850;C;KESSIE';5.5;0;0;0;0;0;0;1;0;0;0;0;0
27;C;GRASSI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
28;C;KURTIC;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1852;C;SPINAZZOLA;5;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;5.5;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
26;C;GOMEZ A;6;0;0;0;0;0;0;0;0;0;0;0;0
126;A;PALOSCHI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
39;A;PINILLA;5.5;0;0;0;0;0;0;0;0;0;0;0;0
684;ALL;GASPERINI;5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
40;P;DA COSTA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
48;D;MAIETTA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
49;D;MASINA;6;0;0;0;0;0;0;0;0;0;0;0;0
461;D;TOROSIDIS;6.5;0;0;0;0;0;0;0;0;0;0;0;0
51;D;MORLEO;6;0;0;0;0;0;0;0;0;0;0;0;0
47;D;GASTALDELLO;7;0;0;0;0;0;0;0;0;0;0;0;0
376;C;VERDI;7.5;1;0;0;0;0;0;1;0;0;0;1;0
1857;C;DI FRANCESCO F;5;0;0;0;0;0;0;0;1;0;0;0;0
1858;C;KREJCI;7.5;0;0;0;0;0;0;0;0;2;0;0;0
713;C;DZEMAILI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
1859;C;NAGY;6;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;6*;0;0;0;0;0;0;0;0;0;0;0;0
275;C;TAIDER;6.5;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;7;1;0;0;0;0;0;0;0;0;0;0;0
760;ALL;DONADONI;7;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
