ATALANTA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
316;P;BERISHA E;6.5;0;2;0;0;0;0;0;0;0;0;0;0
2296;D;MANCINI G;6;0;0;0;0;0;0;0;0;0;0;0;0
2197;D;CASTAGNE;5;0;0;0;0;0;0;0;0;0;0;0;0
2130;D;HATEBOER;6;0;0;0;0;0;0;0;0;0;0;0;0
15;D;MASIELLO A;6.5;0;0;0;0;0;0;0;0;0;0;0;0
695;D;TOLOI;6;1;0;0;0;0;0;0;0;0;0;0;0
2161;C;HAAS;5;0;0;0;0;0;0;0;0;0;0;0;0
22;C;DE ROON;5.5;0;0;0;0;0;0;0;0;0;0;0;0
779;C;CRISTANTE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
788;C;FREULER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2719;A;BARROW;6;0;0;0;0;0;0;0;0;0;0;0;0
2163;A;CORNELIUS;6*;0;0;0;0;0;0;0;0;0;0;0;0
26;A;GOMEZ A;6.5;0;0;0;0;0;0;1;0;0;0;0;0
383;A;PETAGNA;6;0;0;0;0;0;0;1;0;0;0;0;0
684;ALL;GASPERINI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
BENEVENTO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
481;P;BRIGNOLI;6;0;0;0;0;0;0;0;0;0;0;0;0
74;D;LETIZIA;7;1;0;0;0;0;0;1;0;0;0;1;0
2662;D;TOSCA;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2174;D;VENUTI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
787;D;DJIMSITI;6;0;0;0;0;0;0;0;0;0;0;0;0
2645;C;GUILHERME;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2723;C;VOLPICELLI;6*;0;0;0;0;0;0;0;0;0;0;0;0
21;C;D'ALESSANDRO;6*;0;0;0;0;0;0;0;0;0;0;0;0
2244;C;DEL PINTO;6.5;0;0;0;0;0;0;1;0;0;0;0;0
440;C;VIOLA;7;0;0;0;0;0;0;0;0;0;1;0;0
1995;C;DJURICIC;7;0;0;0;0;0;0;0;0;0;0;0;0
2086;A;IEMMELLO;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2649;A;DIABATE';7.5;2;0;0;0;0;0;0;0;0;0;0;0
2317;A;BRIGNOLA;7;0;0;0;0;0;0;0;0;1;0;0;0
2093;ALL;DE ZERBI;7.5;0;0;0;0;0;0;0;0;0;0;0;0
BOLOGNA;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
41;P;MIRANTE;6;0;1;0;0;0;0;0;0;0;0;0;0
615;D;HELANDER;6;0;0;0;0;0;0;0;0;0;0;0;0
49;D;MASINA;6;0;0;0;0;0;0;0;0;0;0;0;0
224;D;DE MAIO;6;0;0;0;0;0;0;0;0;0;0;0;0
419;D;GONZALEZ G;4;0;0;0;0;0;0;0;1;0;0;0;0
713;C;DZEMAILI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1857;C;DI FRANCESCO F;6;0;0;0;0;0;0;0;0;0;0;0;0
669;C;DONSAH;5.5;0;0;0;0;0;0;1;0;0;0;0;0
374;C;POLI;6*;0;0;0;0;0;0;0;0;0;0;0;0
644;C;PULGAR;5.5;0;0;0;0;0;0;1;0;0;0;0;0
376;C;VERDI;5.5;0;0;0;0;0;0;0;0;0;0;0;0
2167;A;ORSOLINI;6.5;0;0;0;0;0;0;0;0;0;0;0;0
2650;A;AVENATTI;6;0;0;0;0;0;0;0;0;0;0;0;0
472;A;DESTRO;4.5;0;0;0;0;0;0;0;0;0;0;0;0
760;ALL;DONADONI;6;0;0;0;0;0;0;0;0;0;0;0;0
CAGLIARI;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
2178;P;CRAGNO;6.5;0;2;0;0;0;0;0;0;0;0;0;0
2653;D;LYKOGIANNIS;5.5;0;0;0;0;0;0;0;0;0;0;0;0
251;D;ANDREOLLI;5;0;0;0;0;0;0;1;0;0;0;0;0
1866;D;CEPPITELLI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1869;D;PISACANE;5.5;0;0;0;0;0;0;0;0;0;0;0;0
455;D;CASTAN;5.5;0;0;0;0;0;0;1;0;0;0;0;0
1872;C;DESSENA;6;0;0;0;0;0;0;0;0;0;0;0;0
2116;C;FARAGO';6.5;0;0;0;0;0;0;0;0;0;0;0;0
627;C;IONITA;6;0;0;0;0;0;0;0;0;0;0;0;0
1870;C;BARELLA;6.5;0;0;0;0;1;0;0;0;0;0;0;0
1871;C;DEIOLA;6*;0;0;0;0;0;0;0;0;0;0;0;0
247;A;PAVOLETTI;6;0;0;0;0;0;0;0;0;0;0;0;0
2654;A;CETER;5.5;0;0;0;0;0;0;0;0;0;0;0;0
1882;A;SAU;5;0;0;0;0;0;0;1;0;0;0;0;0
2125;ALL;LOPEZ D;5.5;0;0;0;0;0;0;0;0;0;0;0;0
CHIEVO;;;;;;;;;;;;;;;
Cod.;Ruolo;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Asf;Gdv;Gdp
413;P;SORRENTINO;5.5;0;1;0;0;0;0;0;0;0;0;0;0
105;D;GOBBI;5.5;0;0;0;0;0;0;1;0;0;0;0;0
2285;D;BANI;6;0;0;0;0;0;0;0;0;0;0;0;0
