Home,Level,BOM Line,Item Description,Quantity,Item Type,QTY., UNIT PRICE , totPRICE , subtotal , PO , VENDOR ,Rule configured by,Item Rev Status,Find No.,Make/Buy,Unit Of Measure,Reference Designator,All Notes,VOC - Variant Occ. Config'd,HCVD - Has Classic Variant Data,Variant Conditions,EOC - Effective Occ. Config'd,Occurrence Effectivity ID,Item Revision Checked-Out,Has Active Markup,PDLC,DOCINT,DOCPDLC
1,0,K000IPL10_0506053/026,READY FOR SHIPMENT  BLOCK MEGA MODULE,,Dummy,,,,,,,,DummyReleased,,,,,,Y,False,,True,,,False,,,
2,1,K005PTB00_0506053/001 x 1,PIPING ACCESSORIES MATERIAL,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,30,,EACH,,,Y,False,,True,,,False,,,
3,2,BOM_SKO2112456/000 x 1,Piping accessories BOM,1,BOM,1,,," € 9,200.00 ",,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PTB01_0506053..1.000000,Y,False,,True,,,False,,,
4,3,BOM_RFR0151526/000 x 1,"Conical Filter 3""-300#-RF",1,BOM,1,,,,440312779,T.R. IMPIANTI SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,,Y,False,,True,,,False,,,
5,3,BOM_RFR0151527/000 x 1,"Conical Filter 6""-300#-RF",1,BOM,1,,,,440312779,T.R. IMPIANTI SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,20,,EACH,,,Y,False,,True,,,False,,,
6,3,BOM_RFR0151528/000 x 1,"Conical Filter 8""-300#-RF",1,BOM,1,,,,440312779,T.R. IMPIANTI SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,30,,EACH,,,Y,False,,True,,,False,,,
7,3,BOM_RFR0151529/000 x 1,"Conical Filter 10""-600#-RF",1,BOM,1,,,,440312779,T.R. IMPIANTI SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,40,,EACH,,,Y,False,,True,,,False,,,
8,3,BOM_RFR0151530/000 x 1,"Conical Filter 16""-300#-RF",1,BOM,1,,,,440312779,T.R. IMPIANTI SPA,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,50,,EACH,,,Y,False,,True,,,False,,,
9,1,K005PVA00_0506053/001 x 1,ACTUATED VALVES 1ST MTO,1,Dummy,1,,,,,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",DummyRealized,40,,EACH,,,Y,False,,True,,,False,,,
10,2,BOM_SKO2157855/002 x 1,RFQ FOR UZV,1,BOM,1,,," € 63,149.00 ",,,"Has Status( Any Release Status, Configured Using Released Date ), Date( Today )",Released,10,,EACH,,RefDesgComment: K005PVA01_0506053..1.000000,Y,False,,True,,,False,,,
